timestep,Earth x,Earth y,Earth z,Moon x,Moon y,Moon z
60000.0,67058.4249225626,4001.012951806979,0.0,356935288.28689015,64648862.88180508,0.0
60100.0,67281.1126475307,4021.019740998025,0.0,356914152.6572138,64755164.00710323,0.0
60200.0,67504.16713879816,4041.093081247768,0.0,356892982.2171918,64861458.81593947,0.0
60300.0,67727.58838062466,4061.233082920728,0.0,356871776.9683181,64967747.29783895,0.0
60400.0,67951.37635724327,4081.4398563804575,0.0,356850536.9120891,65074029.44232689,0.0
60500.0,68175.53105286049,4101.713511989538,0.0,356829262.0500039,65180305.23892861,0.0
60600.0,68400.05245165627,4122.054160109579,0.0,356807952.3835639,65286574.677169524,0.0
60700.0,68624.94053778396,4142.461911101215,0.0,356786607.9142731,65392837.74657513,0.0
60800.0,68850.19529537034,4162.936875324105,0.0,356765228.64363813,65499094.43667103,0.0
60900.0,69075.81670851562,4183.479163136929,0.0,356743814.57316804,65605344.73698293,0.0
61000.0,69301.8047612934,4204.088884897387,0.0,356722365.70437443,65711588.637036584,0.0
61100.0,69528.15943775073,4224.7661509621985,0.0,356700882.03877145,65817826.12635789,0.0
61200.0,69754.88072190806,4245.511071687097,0.0,356679363.5778757,65924057.194472805,0.0
61300.0,69981.96859775925,4266.3237574268305,0.0,356657810.3232063,66030281.8309074,0.0
61400.0,70209.42304927156,4287.20431853516,0.0,356636222.27628505,66136500.02518783,0.0
61500.0,70437.24406038568,4308.152865364856,0.0,356614599.4386361,66242711.766840346,0.0
61600.0,70665.4316150157,4329.169508267695,0.0,356592941.81178623,66348917.0453913,0.0
61700.0,70893.98569704911,4350.254357594465,0.0,356571249.39726466,66455115.85036712,0.0
61800.0,71122.9062903468,4371.407523694952,0.0,356549522.1966032,66561308.17129435,0.0
61900.0,71352.19337874308,4392.629116917949,0.0,356527760.21133614,66667493.99769961,0.0
62000.0,71581.84694604561,4413.919247611248,0.0,356505963.4430004,66773673.31910963,0.0
62100.0,71811.86697603551,4435.278026121637,0.0,356484131.8931352,66879846.12505123,0.0
62200.0,72042.25345246727,4456.705562794904,0.0,356462265.5632825,66986012.40505132,0.0
